2	209113112
12	25398284
3	178936082
17	7578406
17	7577538
17	7577120
17	7577094
17	7577539
9	21971120
7	140453137
7	55221822
3	178936091
14	105246551
12	25398284
3	178952085
11	533874
17	7577085
17	7577548
17	7578263
21	44524456
17	7578395
12	25398285
3	41266113
12	25378562
1	115256530
7	55233043
2	209113113
12	25398281
9	21971186
17	7578394
9	137328351
17	7578190
3	178916876
7	140453136
9	21971111
3	178928079
17	37868208
17	7577099
17	7577121
19	3118942
17	7576897
17	7577099
1	115256529
17	7577127
11	534289
3	178917478
17	7578403
3	192516720
2	178098810
3	41266124
4	1803568
3	178936095
3	41266125
3	41266137
17	7578403
17	7577556
17	7576855
17	7579414
17	7577106
17	7574003
15	90631838
17	7578500
17	7578239
12	25398285
19	45867687
17	7577534
3	41266101
3	41266113
9	21968242
23	39921444
2	178098960
19	59010865
3	178936094
11	533875
3	41266136
17	7578442
17	7578271
17	7578555
10	89624245
14	23235899
17	7578479
17	7577142
19	50169131
17	7578508
17	37879658
17	7577570
2	198266834
8	55372518
16	68772218
17	7577547
12	25398285
11	534285
17	7578235
12	20523043
17	7578524
11	533874
20	57484420
17	7577141
17	7578526
20	13029765
17	7577124
14	65544747
17	7578492
17	7578275
17	7578534
17	7579312
3	178952007
12	25398284
3	41266097
3	178952085
17	7577046
2	70315174
17	7577532
17	7578272
3	41266103
7	55259515
3	178927980
17	7577120
4	153247289
17	7577141
17	7578461
3	41266097
17	7576852
6	31940123
3	41266101
17	7577580
1	115258747
17	7577535
17	7576852
9	21974679
3	41266101
3	178921553
3	41266104
12	25398282
3	184870595
17	7577568
17	7578280
17	37880220
17	7578257
6	74227627
17	7577574
12	56478854
17	7578208
7	140453134
2	219449406
17	7578431
12	133250289
17	7577106
1	172501615
19	52715971
15	66729162
9	21971208
17	7577114
5	67591097
2	178098953
17	7578419
17	7578176
17	7577559
17	7577547
10	103771512
17	7578449
22	22127164
13	73649905
5	112175639
17	7578203
2	178098810
20	57484421
3	41266098
3	178916930
7	17375399
17	7577498
12	133253184
17	7578265
13	20056655
17	7578457
17	7578370
17	7577058
3	178916891
17	7577538
16	56782202
17	7577568
3	178952072
17	37868208
13	48985612
17	7578413
3	178916854
17	7577551
5	67589138
17	7579374
17	7578454
17	7577022
10	75451802
3	178952084
4	153249510
4	1806099
3	178916944
17	7578443
17	7578478
3	178936092
17	7577548
17	7578370
17	7577153
17	7579358
4	153249384
17	7578526
5	112116592
17	7579415
17	7577610
17	7578413
17	7577114
1	154988705
8	144733541
2	178098945
17	79650840
17	37881000
3	178916936
10	123274774
12	25380276
5	67591246
17	7574021
9	80409488
5	112175513
3	41266097
9	80409488
7	55210075
17	7578177
3	178936092
7	5568242
15	45003745
8	104427572
3	41266100
17	7579311
17	7578475
21	30365209
17	7577118
4	55594221
17	7579485
17	7577566
1	115256529
17	7577121
4	153249385
17	7578395
17	7577085
5	16694613
4	153247168
10	33209310
2	178098957
17	7577084
17	48777241
17	7577565
5	112175480
5	112175576
17	7577559
17	7578212
7	98509802
17	47696599
13	73649905
3	178936095
17	7579591
17	7577570
2	16082317
17	7577100
17	7578382
2	209113113
1	115258745
4	153247366
17	7578556
3	178936091
17	39673185
11	534286
9	35749252
12	25380275
12	25380277
4	153247289
17	7577106
9	21971096
4	1806089
3	38182641
9	35826156
3	10188200
12	56482341
17	7578290
7	55221822
17	47696432
11	534288
6	26031889
3	178952018
5	112175423
17	7578253
17	4496467
5	112174631
7	140481411
4	22517284
10	123258034
3	41268766
3	41266098
19	11132513
2	178098804
17	7577550
3	178948044
17	7578271
8	38274849
6	74227628
1	11188164
3	41266112
2	209113113
3	178916725
17	7579373
7	6426893
17	7574017
17	7577108
17	7578457
3	178936083
7	55221711
17	63010911
17	7578535
17	7578266
17	7577545
17	7579312
3	169998104
10	89624267
2	39281778
15	45003745
2	178098799
3	41266104
1	114522150
17	7578469
22	38884057
17	7578449
12	25380276
7	55211080
14	64066236
7	55241708
10	11990443
19	52716323
4	106861795
17	7577536
17	7577556
17	7577551
17	7578271
12	58145436
17	7578191
3	178947827
19	55685920
4	152201080
17	7574012
6	136597624
19	42791757
5	140725741
19	11143993
2	178098960
17	7574026
10	123279677
19	21476519
17	7576928
17	7578217
17	7579361
11	14316390
17	7578410
17	7578394
2	178098799
3	195447900
2	178098803
17	47696426
17	7577105
7	140453193
19	49558616
1	155291869
16	58549753
11	77635932
12	25398262
2	233710483
7	55259524
9	96422621
8	142437852
8	128750945
6	43274045
3	10188240
6	26205150
17	7578524
17	7577090
8	125520718
7	140453136
2	198267483
3	178952090
2	198265453
17	7577126
17	7577018
17	7579311
17	7578550
17	7578542
17	7578530
17	7579591
15	40675132
19	52716323
17	7577099
7	6426892
3	178922324
19	47572412
20	20033087
17	7574000
1	27101300
17	7578268
17	7578556
17	7577096
23	80371790
1	115258748
15	45003747
13	33258137
18	55103500
17	7578268
17	7578205
10	89624305
3	178921566
14	31926599
17	7578493
3	178952077
7	5338650
10	135099012
17	7577081
3	41266100
1	11184573
4	55599320
13	111372025
17	7578460
17	7577097
5	67591106
7	55220295
17	7578188
3	178952074
17	7578502
17	7578204
23	44922802
11	533552
3	41266107
17	7579349
6	31778583
17	7578478
17	7578211
17	7578550
17	7578507
17	7578554
17	7578455
17	7578538
17	7579369
12	25380275
1	27101342
17	40474482
3	178928079
3	41266103
10	89685300
3	178921567
17	7577117
4	153247288
18	48591919
9	40774511
17	7577505
3	48200932
22	23438273
5	145969658
19	11144113
17	7576853
3	41266098
17	7574018
5	112173917
17	7577520
11	534285
17	7577107
17	7578203
7	55221821
9	21971209
17	7578413
13	20056687
2	178098944
17	7577559
22	31345759
7	55249005
17	7578407
17	7578553
3	178936083
17	7578176
17	7578527
5	112162891
18	45368211
7	55221710
15	40675071
17	7577082
17	7577120
17	7579329
11	55606243
12	56481806
16	89789220
1	240255893
3	41266110
19	10602767
17	7577129
7	116423474
14	105246445
11	533552
17	7578177
15	83710649
2	198267484
6	26045748
16	2131631
2	39251221
3	178936094
5	176831333
2	178098959
11	45274136
15	40675107
4	1730378
12	133249857
17	7578479
12	56482537
7	143826554
12	123380553
1	78245408
17	7577105
3	178951964
19	18273784
17	7578466
7	107880462
3	178921552
17	47696644
11	55681198
17	47696425
17	7577102
2	20647740
17	7577082
17	38560458
10	43617416
12	56492633
17	7578272
17	7578259
1	220170329
19	1220640
2	74642280
23	20156731
17	37881332
17	37880261
5	14487619
14	95560464
